MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,,,
LOCATION,SUBURB,Reason Code,Audit Date
Thomas Street,BRIGHTON EAST,AC,May-22
Thompson Road,NORTH GEELONG,BC,May-21
Thompson Road,NORLANE,BC,Jan-22
Thompsons Road,CRANBOURNE,BC,Mar-22
Thornhill Road,HIGHTON,ABCD,May-21
Timbertop  Drive,DOREEN,BCD,Dec-21
Timbertop Drive,DOREEN,BCD,Apr-22
Tinks Road,NARRE WARREN,B,Mar-22
Tobin Street,ARARAT,BC,Jul-21
Todd Road,FISHERMENS BEND,BCD,May-22
Tomahawk Creek Road,PIRRON YALLOCK,ABC,Jan-22
Tomahawk Creek Road,IRREWILLIPE,BC,Jan-22
Toolamba road,MOOROOPNA,BC,Apr-22
Toomuc Valley Road,PAKENHAM,BC,Apr-22
Toorak Road,SOUTH YARRA,ABCD,May-22
Toorak Road,TOORAK,ABCD,May-22
Tooronga Road,GLEN IRIS,ABCD,May-22
Tooronga Road,HAWTHORN EAST,AC,Apr-22
Tooronga Road,MALVERN EAST,C,May-22
Torbay Street,MACLEOD,AC,Apr-22
Traralgon Creek Road,TRARALGON SOUTH,ABC,T
Traralgon West Road,MARYVALE,AC,T
Traralgon-Maffra Road,GLENGARRY,ABC,T
Traralgon-Maffra Road,HEYFIELD,ABC,Jan-22
Traralgon-Maffra Road,COWWARR,ABCD,Jan-22
Traralgon-Maffra Road,DENISON,C,Jan-22
Traralgon-Maffra Road,MAFFRA,C,Jan-22
Trentham Road,TYLDEN,CD,Nov-21
Truemans Road,TOOTGAROOK,C,Jan-22
Tucker Road,BENTLEIGH,AB,May-22
Tuckfield Street,OCEAN GROVE,BC,May-21
Twentieth Street,CARDROSS,C,Jul-21
Twentieth Street,KOORLONG,C,Jul-21
Twyford Road,CLYDE,B,Mar-22
Tyabb-Tooradin Road,PEARCEDALE,B,Mar-22
Tyers Street,STRATFORD,C,Jan-22
Union Road,SURREY HILLS,BCD,Apr-22
Union Road,BALWYN,C,Apr-22
Union Street,BRIGHTON EAST,B,May-22
Upper California Gully Road,CALIFORNIA GULLY,ABCD,Apr-22
Upper Heidelberg Road,IVANHOE,B,Apr-22
Valley Drive,WALLAN,BC,May-21
Ventnor Road,VENTNOR,C,T
Victa Road,EAST BENDIGO,ABCD,Apr-22
Victoria Street,CARISBROOK,ABC,Nov-21
Victoria Street,BRUNSWICK,ABC,Apr-22
Victoria Street,PRESTON,BC,Apr-22
Victoria Street,IRONBARK,BCD,Apr-22
Victoria Street,WARRAGUL,BCD,Apr-22
Victoria Street,ALTONA MEADOWS,C,Sep-21
Victoria Street,WILLIAMSTOWN,C,Sep-21
Victoria Street,HAMILTON,C,Apr-22
View Street,ST ALBANS,C,T
Villa Road,SPRINGVALE,BCD,Mar-22
Vincent Avenue,ST ALBANS,C,T
Vineyard Road,SUNBURY,ABC,Apr-22
Wahring-Murchison East Road,MURCHISON EAST,C,Apr-22
Wahring-Murchison Road,WAHRING,C,Oct-21
Waiora Road,HEIDELBERG HEIGHTS,C,Apr-22
Wallace Street,BAIRNSDALE,C,Sep-21
Wallan Road,WHITTLESEA,BCD,Apr-22
Wallan Road,GLENVALE,C,Apr-22
Wallington-Ocean Grove Road,WALLINGTON,ABCD,May-21
Walnut Avenue,MILDURA,C,Jul-21
Walnut Avenue,MILDURA SOUTH,C,Jul-21
Wanda Street,MULGRAVE,C,Apr-22
Wangandary Road,WANGARATTA,BC,May-21
Wangaratta Road,WANGARATTA,ABC,May-21
Wangaratta Whitfield Road,KING VALLEY,C,May-21
Wangaratta-Yarrawonga Road,KILLAWARRA,ABC,May-21
Wangaratta-Yarrawonga Road,WALDARA,ABC,May-21
Wangaratta-Yarrawonga Road,PEECHELBA,BC,May-21
Wangoom Road,WARRNAMBOOL,C,Nov-21
Warburton Highway,WESBURN,ABC,Jul-21
Warburton Highway,LILYDALE,ABC,Jan-22
Warburton Highway,SEVILLE,ABCD,Nov-21
Warburton Highway,WOORI YALLOCK,AC,Jul-21
Warneet Road,BLIND BIGHT,B,Mar-22
Warneet Road,WARNEET,B,Mar-22
Warragul-Korumburra Road,WARRAGUL SOUTH,ABC,Apr-22
Warralily Boulevard,ARMSTRONG CREEK,ABCD,May-21
Warrandyte Road,RINGWOOD NORTH,ABC,Jul-21
Warrandyte Road,LANGWARRIN,ABC,Jan-22
Warrandyte Road,LANGWARRIN SOUTH,BC,Jan-22
Warrigal Road,BENTLEIGH EAST,AC,May-22
Warrigal Road,BURWOOD,C,Apr-22
Warrigal Road,OAKLEIGH SOUTH,C,May-22
Waterdale Road,IVANHOE,BCD,Apr-22
Waterside Drive,WATERWAYS,BC,May-22
Waterview Drive,MERNDA,BC,Apr-22
Wattle Glen-Kangaroo Ground Road,KANGAROO GROUND,AC,Apr-22
Wattle Road,MAIDSTONE,C,Sep-21
Wattle Valley Road,CAMBERWELL,ABCD,Apr-22
Wattletree Road,MALVERN,AC,May-22
Wattletree Road,MALVERN EAST,C,May-22
Wattletree Road,ARMADALE,CD,May-22
Waverley Road,MALVERN EAST,C,May-22
Wawunna Road,HORSHAM,BC,Jul-21
Weatherall Road,CHELTENHAM,AC,May-22
Webb Road,ROCHESTER,AB,Mar-22
Wedge Road,CARRUM DOWNS,C,Jan-22
Welcome Road,DIGGERS REST,BC,May-22
Wellington Parade South,EAST MELBOURNE,BCD,May-22
Wellington Road,ROWVILLE,ABC,Apr-22
Wellington Street,STRATHFIELDSAYE,ABCD,Apr-22
Wendouree Parade,BALLARAT,C,Nov-21
Wentworth Road,MERBEIN,C,Jul-21
Were Street,BRIGHTON,ABC,Sep-21
West Street,GLENROY,C,Apr-22
Westall Road,SPRINGVALE SOUTH,C,Nov-21
Westall Road Extension,DINGLEY VILLAGE,C,Sep-21
Western Avenue,WESTMEADOWS,BC,Apr-22
Western Freeway,MELTON,ABCD,Nov-21
Western Freeway,BUANGOR,B,Jul-21
Western Freeway,NERRINA,BC,Nov-21
Western Freeway,GORDON,C,Dec-21
Western Highway,BUANGOR,ABC,Jul-21
Western Highway,LEIGH CREEK,ABC,Dec-21
Western Highway,MIRAM,AC,T
Western Highway,DIMBOOLA,AC,Jul-21
Western Highway,DRUNG,AC,Jul-21
Western Highway,LAWLOIT,AC,Jul-21
Western Highway,ARARAT,B,Jul-21
Western Highway,DADSWELLS BRIDGE,BC,Jul-21
Western Highway,MIRAM SOUTH,C,T
Western Highway,ARMSTRONG,C,Jul-21
Western Highway,DAHLEN,C,Jul-21
Western Highway,DEEP LEAD,C,Jul-21
Western Highway,DRUNG DRUNG SOUTH,C,Jul-21
Western Highway,GERANG GERUNG,C,Jul-21
Western Highway,KINIMAKATKA,C,Jul-21
Western Highway,LOCHIEL,C,Jul-21
Western Highway,STAWELL,C,Jul-21
Western Port Highway,SKYE,ABC,Jan-22
Western Port Highway,LANGWARRIN,BC,Jan-22
Western Port Highway,LYNDHURST,C,Nov-21
Westernport Highway,LANGWARRIN,C,Mar-22
Westernport Road,LANG LANG,B,Apr-22
Westernport Road,RIPPLEBROOK,C,Apr-22
Westgarth Street,WESTGARTH,BCD,Apr-22
Westmelton Drive,MELTON WEST,C,May-22
Westwood Drive,BURNSIDE,ABC,May-22
Westwood Drive,CAROLINE SPRINGS,BC,May-22
Wheatsheaf Road,GLENROY,BCD,Apr-22
White Hill Road,DROMANA,C,Jan-22
Whitfield Road,MOYHU,BC,May-21
Whittlesea-Kinglake Road,KINGLAKE CENTRAL,BC,Sep-21
Whittlesea-Kinglake Road,KINGLAKE WEST,BC,Sep-21
Whittlesea-Kinglake Road,PHEASANT CREEK,BC,Sep-21
Whittlesea-Yea Road,WHITTLESEA,ABCD,Apr-22
Whittlesea-Yea Road,KINGLAKE WEST,AC,Apr-22
Wickham Road,HIGHETT,ABCD,May-22
Wickham Road,MOORABBIN,C,May-22
Widford Street,GLENROY,C,Apr-22
Wilkinson Drive,ECHUCA,ABCD,Apr-22
Willaton Street,ST ALBANS,C,Oct-21
Williams Road,PRAHRAN,C,May-22
Williamson Street,BENDIGO,ABCD,Apr-22
Williamstown Road,PORT MELBOURNE,BCD,May-22
Willowgrove Road,TRAFALGAR,AC,Oct-21
Wilsons Lane,SUNBURY,C,Apr-22
Wilsons Road,MORNINGTON,BC,Jan-22
Wilton Vale Road,SOUTH MORANG,BC,Apr-22
Wimmera Highway,NEWBRIDGE,ABCD,Nov-21
Wimmera Highway,LLANELLY,ABCD,Apr-22
Wimmera Highway,KARNAK,C,T
Wimmera Highway,HORSHAM,C,Jul-21
Wimmera Highway,KOOREH,C,Jul-21
Wimmera Highway,MOOLERR,C,Jul-21
Wimmera Highway,QUANTONG,C,Jul-21
Wimmera Highway,ST ARNAUD,C,Jul-21
Windsor Avenue,SPRINGVALE,BC,Nov-21
Winton-Glenrowan Road,WINTON NORTH,BC,Sep-21
Witt Street,BENALLA,BC,Feb-22
Wodonga-Yackandandah Road,BARANDUDA,AC,Oct-21
Wodonga-Yackandandah Road,STAGHORN FLAT,C,Oct-21
Wollaston Road,WARRNAMBOOL,C,Nov-21
Wood Street,FLINDERS,BC,Jan-22
Wood Street,PRESTON,C,Apr-22
Woodend-Tylden Road,TYLDEN,AC,Nov-21
Woodland Street,STRATHMORE,C,Apr-22
Woods Point Road,EAST WARBURTON,ABC,Oct-21
Woods Point Road,MCMAHONS CREEK,ABC,Nov-21
Woori Yallock Road,COCKATOO,ABC,Apr-22
Woori Yallock Road,NANGANA,ABC,Apr-22
Worsley Road,BANGHOLME,BC,Nov-21
Wright Street,SUNSHINE,ABC,T
Wungan Street,MACLEOD,BC,Apr-22
Wurundjeri Way,DOCKLANDS,ABCD,Sep-21
Yallambie Road,YALLAMBIE,AC,Apr-22
Yan Yean Road,DOREEN,ABCD,Apr-22
Yan Yean Road,YARRAMBAT,BC,Apr-22
Yankee Flat Road,WARRENHEIP,C,Dec-21
Yarra Boulevard,KEW,ABCD,Apr-22
Yarra Boulevard,RICHMOND,BC,May-22
Yarra Glen Bypass,YARRA GLEN,C,Aug-21
Yarra Road,WONGA PARK,C,Apr-22
Yarralumla Drive,WODONGA,ABCD,Oct-21
Yarrawonga Wangaratta Road,PEECHELBA,BC,May-21
York Street,BALLARAT EAST,ABC,Nov-21
Yuille Street,MELTON,BC,May-22
